dataset	cell_type	obs_%zero	NB_pred_%zero	ZINB_pred_%zero	excess_pp	zinb_shift_pp	mean_pi	mean_mu_NB	mean_mu_ZINB	mu_shift	theta_NB	theta_ZINB
Shendure (obs)	Cardiomyocytes	74.43321496858782	77.5080461852445	77.52896506407512	-3.0748312166566762	0.02091887883062782	0.03270102680350343	3.1215951589961786	3.251657003796176	0.1300618447999975	0.3551374673843384	0.377830445766449
Shendure (obs)	EpiblastPrimitiveStreak	81.0125705098887	85.15876306459288	85.1255171615118	-4.146192554704172	-0.033245903081080996	0.031056837799648445	3.0328657610794982	3.1392705420032145	0.1064047809237163	0.3876657485961914	0.41784152388572693
Shendure (obs)	ExEndodermParietal	82.40122184419003	85.02590647455708	85.0377340132063	-2.6246846303670424	0.011827538649228586	0.008923864962222675	1.3346748748255286	1.3458443894548069	0.011169514629278288	0.20840460062026978	0.21123574674129486
Shendure (obs)	ExEndodermVisceral	82.90131592711144	86.3535786198376	86.36408811734594	-3.4522626927261655	0.010509497508337518	0.012623943233241638	1.9245646763278323	1.9517694262573748	0.02720474992954247	0.3137173354625702	0.3214706778526306
Shendure (obs)	Haematoendothelial	77.79758367993662	80.33537010325725	80.39305005324942	-2.5377864233206253	0.057679949992177626	0.043278945377096534	3.321080092565863	3.4960250627495104	0.17494497018364763	0.3116530179977417	0.3358447551727295
Shendure (obs)	Mesoderm	86.84856100041884	91.03649561483705	91.02346442543742	-4.187934614418211	-0.013031189399626442	0.021786713739857078	0.9004710296492519	0.9292091689832866	0.028738139334034796	0.3585990071296692	0.3746834695339203
Shendure (obs)	NeuroectodermBrain	86.44780720392392	90.87718622974086	90.8714225848462	-4.429379025816942	-0.00576364489465675	0.03321203636005521	1.2246775730389219	1.2820578078467486	0.057380234807826724	0.36804232001304626	0.396071195602417
Shendure (obs)	NeuroectodermRostral	79.29051799373684	81.96164808579566	81.97353014256615	-2.6711300920588172	0.011882056770488703	0.006301537932207187	1.0911801190718131	1.0989293991259355	0.007749280054122343	0.4002918601036072	0.40382376313209534
Shendure (obs)	SurfaceEctoderm	86.16321907911009	90.70056443873624	90.71703654532737	-4.537345359626144	0.01647210659113796	0.032985860481858253	0.9664249760835774	1.0091273837233725	0.04270240763979516	0.37087777256965637	0.39690712094306946
Shendure (obs)	reference	81.32750548338113	84.91212862764557	84.91368257569937	-3.584623144264441	0.0015539480537967165	0.0061072826307887835	2.3323489091952965	2.3418629284124766	0.009514019217180092	0.30408528447151184	0.3069339692592621
