study,n_cell_types,n_samples
DS0004,3,3
DS0131,3,3
DS0003,2,2
DS0007,2,4
DS0024,2,2
DS0042,2,6
DS0064,2,2
DS0068,2,2
DS0113,2,2
DS0127,2,2
DS0001,1,2
DS0002,1,2
DS0005,1,1
DS0006,1,1
DS0008,1,16
DS0009,1,3
DS0010,1,3
DS0011,1,1
DS0020,1,3
DS0021,1,15
DS0022,1,1
DS0026,1,2
DS0030,1,2
DS0031,1,2
DS0032,1,4
DS0033,1,1
DS0037,1,4
DS0040,1,2
DS0041,1,2
DS0043,1,1
DS0044,1,1
DS0046,1,2
DS0053,1,1
DS0057,1,1
DS0075,1,1
DS0082,1,1
DS0084,1,1
DS0089,1,1
DS0092,1,1
DS0098,1,1
DS0100,1,1
DS0102,1,1
DS0103,1,2
DS0109,1,2
DS0123,1,1
DS0124,1,6
DS0132,1,7
DS0133,1,1
DS0134,1,1
DS0135,1,1
