replicate	auroc	auprc	test	gt_draw
0	0.9199536802489686	0.8822202341314895	ks	0
1	0.8892760356174991	0.8607524225399393	ks	0
2	0.885348763397544	0.8561670836569791	ks	0
3	0.8792308991339172	0.8560893802198832	ks	0
4	0.8686684009031118	0.8426530804693038	ks	0
0	0.9341873537429737	0.8976992690388494	mwu	0
1	0.9002734223770809	0.873493591001465	mwu	0
2	0.8750457774848018	0.8597132412361658	mwu	0
3	0.893488697498251	0.8661388667120878	mwu	0
4	0.8730244429174437	0.849029707905793	mwu	0
0	0.8953945622542279	0.8021313580923483	pseudobulk	0
1	0.8851046168119339	0.8184354183263854	pseudobulk	0
2	0.8712655500048976	0.8062361570658427	pseudobulk	0
3	0.8588850174216028	0.8050334864456604	pseudobulk	0
4	0.8623253493013971	0.7832977377464709	pseudobulk	0
0	0.9401461967141926	0.909804437778863	ttest	0
1	0.9060401865279912	0.8848540982925901	ttest	0
2	0.891647745306282	0.8764700889039264	ttest	0
3	0.8821500084437046	0.8639268279228597	ttest	0
4	0.8737318750927896	0.8569233480823948	ttest	0
0	0.7176022765967798	0.45824556038685155	wald_auto	0
1	0.8516074826401759	0.820717786585515	wald_auto	0
2	0.8887782535099074	0.8713946392854487	wald_auto	0
3	0.8706576893052302	0.8519770813968776	wald_auto	0
4	0.8166040799756419	0.7312577193969866	wald_auto	0
0	0.8763195051435486	0.8597556313424899	ks	1
1	0.8867805755395683	0.8749004547421736	ks	1
2	0.8348685537551268	0.811305214102603	ks	1
3	0.8666982708022937	0.8454036432080994	ks	1
4	0.8854204136690648	0.8637705290852605	ks	1
0	0.8747618727447948	0.8635528768484941	mwu	1
1	0.8860836330935252	0.879411210103442	mwu	1
2	0.8380958784374369	0.8210529934119102	mwu	1
3	0.8604451668246873	0.8487960601108732	mwu	1
4	0.8962117805755395	0.8804547181571021	mwu	1
0	0.8764370437956205	0.8326172090276277	pseudobulk	1
1	0.8279042297033302	0.779204848366771	pseudobulk	1
2	0.7932271005625406	0.7090698095972984	pseudobulk	1
3	0.8447497949138637	0.8014150030257104	pseudobulk	1
4	0.8274399192808659	0.7606424343138529	pseudobulk	1
0	0.8882699275362319	0.8747868300555257	ttest	1
1	0.8739266730271229	0.8767450126376457	ttest	1
2	0.832672180012999	0.8201278410540439	ttest	1
3	0.8676966548172453	0.8570320773900706	ttest	1
4	0.8923362685745735	0.8781905163728363	ttest	1
0	0.7014826642335766	0.6564249274014676	wald_auto	1
1	0.8493026214165645	0.848099830229719	wald_auto	1
2	0.7223604294134787	0.6939924042667167	wald_auto	1
3	0.5981487024799097	0.3606940218695658	wald_auto	1
4	0.8100110874988451	0.7525616010309315	wald_auto	1
0	0.8498051526304395	0.8399364706422614	ks	2
1	0.8489499891751463	0.8335253123078797	ks	2
2	0.8895215414591903	0.8732498044081277	ks	2
3	0.8539484109516684	0.8397567886699142	ks	2
4	0.8815806849194472	0.8660490329031117	ks	2
0	0.8609439272569821	0.8544159773182741	mwu	2
1	0.870534747780905	0.866010790300627	mwu	2
2	0.8956484087464819	0.8867040311025866	mwu	2
3	0.8596047187252399	0.8578142163802884	mwu	2
4	0.8831323179857382	0.8756669124448154	mwu	2
0	0.8424008424008425	0.7636692461782097	pseudobulk	2
1	0.7957472687387328	0.656661531184092	pseudobulk	2
2	0.8743883957566573	0.8390268010395344	pseudobulk	2
3	0.8029869928427397	0.7110592707106347	pseudobulk	2
4	0.8590985121929746	0.8201300523316966	pseudobulk	2
0	0.8639532366313054	0.8455919915592301	ttest	2
1	0.864970772894566	0.8547420120438026	ttest	2
2	0.9024680666810998	0.8966652544460418	ttest	2
3	0.8546637027907386	0.8427131717025279	ttest	2
4	0.877520028171494	0.8739155525978941	ttest	2
0	0.8699213919802157	0.8585298411226352	wald_auto	2
1	0.6489216133446276	0.4901379494860084	wald_auto	2
2	0.8942195280363716	0.8891254513572423	wald_auto	2
3	0.5938659247482777	0.41895319115639684	wald_auto	2
4	0.8795009860621774	0.8729292056892829	wald_auto	2
0	0.91758372070961	0.8724596583764461	ks	3
1	0.828242102267337	0.8033870440344404	ks	3
2	0.7576487050564462	0.7348338199544637	ks	3
3	0.8724978654776585	0.8450398770720994	ks	3
4	0.8978275305948202	0.8675271872096582	ks	3
0	0.9195759415615217	0.8973351847737266	mwu	3
1	0.8422113651456219	0.804846760972428	mwu	3
2	0.8112133573664738	0.7820192273333167	mwu	3
3	0.8821743667583721	0.8588926929654437	mwu	3
4	0.9064842045346742	0.8790181050927912	mwu	3
0	0.88478322739778	0.7951991013404586	pseudobulk	3
1	0.8143439901337634	0.6527632179171698	pseudobulk	3
2	0.7650365240489517	0.7024484699674516	pseudobulk	3
3	0.8565194456433127	0.7773539634626845	pseudobulk	3
4	0.8809144325237291	0.7895292088698322	pseudobulk	3
0	0.9231809126268855	0.9003183781989489	ttest	3
1	0.8446304904658003	0.8044461300731174	ttest	3
2	0.8181386965183568	0.778575455785648	ttest	3
3	0.8778341713309933	0.8553850594217839	ttest	3
4	0.9081047648500131	0.8810903660915026	ttest	3
0	0.9226010645950223	0.9003495824932701	wald_auto	3
1	0.6233864027538726	0.35007725439051285	wald_auto	3
2	0.4844061284508111	0.27088069639046997	wald_auto	3
3	0.8337409485445739	0.773736917028168	wald_auto	3
4	0.8948955468712307	0.8631032520055615	wald_auto	3
0	0.9157037037037037	0.8904076124939986	ks	4
1	0.8589026915113871	0.8379307647825778	ks	4
2	0.8958974358974359	0.8728335692044878	ks	4
3	0.856011396011396	0.847480277490287	ks	4
4	0.8733310470964792	0.8634558836570974	ks	4
0	0.9199999999999999	0.8998116790096902	mwu	4
1	0.8563607085346215	0.8444194498522442	mwu	4
2	0.9041595441595441	0.8851524808900872	mwu	4
3	0.8677378917378917	0.8626330959570181	mwu	4
4	0.8921582075903064	0.8774540570467894	mwu	4
0	0.8747563352826511	0.8249093903285859	pseudobulk	4
