replicate	auroc	auprc	test	gt_draw
0	0.8325572990590338	0.8079861192171897	ks	0
1	0.8127513404825737	0.780649479247931	ks	0
2	0.778552935115393	0.7402016151958037	ks	0
3	0.8171966172527992	0.7915018824362727	ks	0
4	0.8183189428586448	0.7953335067001105	ks	0
0	0.8343298244230668	0.8063275628390223	mwu	0
1	0.8107777427324818	0.7767973201952609	mwu	0
2	0.7715332036056848	0.7352514022034551	mwu	0
3	0.8237869946906378	0.7951775365198005	mwu	0
4	0.8215219734006203	0.8002391273913203	mwu	0
0	0.8425210940969424	0.812939245027372	ttest	0
1	0.8248807364768963	0.7887963203818431	ttest	0
2	0.8032457419965304	0.7757575570140629	ttest	0
3	0.8372348604321085	0.8069801617833086	ttest	0
4	0.8431470912350532	0.8205704957500882	ttest	0
0	0.656773938007182	0.6298535634799534	wald_auto	0
1	0.640761772898414	0.6136254280918007	wald_auto	0
2	0.6444396913461319	0.6163365149496721	wald_auto	0
3	0.6405217595752255	0.6143871593343663	wald_auto	0
4	0.6594266457240074	0.6261726803640676	wald_auto	0
0	0.8187174612775701	0.7881328329913087	ks	1
1	0.8305225367782074	0.8032346945684649	ks	1
2	0.829309422997991	0.7988298452248395	ks	1
3	0.8462174072713918	0.8135613488193124	ks	1
4	0.8026722257026204	0.7852406778354561	ks	1
0	0.8182310681341946	0.785179893145244	mwu	1
1	0.8349496932449072	0.8085567628724307	mwu	1
2	0.8340430645265818	0.7985914460451309	mwu	1
3	0.8478278040007778	0.8147535920884975	mwu	1
4	0.8068506162104945	0.7841582352700591	mwu	1
0	0.828146940009937	0.790352032765753	ttest	1
1	0.8433216634983043	0.822959865991708	ttest	1
2	0.823790666652265	0.8021792430964065	ttest	1
3	0.8642196917327343	0.8297275632197663	ttest	1
4	0.8425866968408986	0.8226458863212602	ttest	1
0	0.6362990688602808	0.6008058334409689	wald_auto	1
1	0.6301416186679275	0.5935273513018324	wald_auto	1
2	0.6258284483870274	0.5906217430097036	wald_auto	1
3	0.6354205844741989	0.6036628032626659	wald_auto	1
4	0.6357664709106149	0.6050087533098865	wald_auto	1
0	0.8351486927062174	0.8030851139262382	ks	2
1	0.813949615383324	0.7728408199893235	ks	2
2	0.8343871819063959	0.8003574425678843	ks	2
3	0.8047382894211108	0.7707182616414182	ks	2
4	0.811774877530395	0.7715118862087369	ks	2
0	0.8414372005412503	0.8105471381111355	mwu	2
1	0.8076909904676846	0.7656516467043737	mwu	2
2	0.8404896769622837	0.80696440357635	mwu	2
3	0.8140782126656572	0.7699590826511924	mwu	2
4	0.807293111147672	0.7658676177712073	mwu	2
0	0.8562922928791971	0.8328522516627369	ttest	2
1	0.8170262130282813	0.7717725912851978	ttest	2
2	0.8515416564538711	0.8244565360233728	ttest	2
3	0.8337500698488101	0.7981657604436433	ttest	2
4	0.82836218303874	0.7942340720135288	ttest	2
0	0.6248990300875306	0.5959779506544931	wald_auto	2
1	0.6093194310541693	0.5764996269038944	wald_auto	2
2	0.6275080458572103	0.5974568828625413	wald_auto	2
3	0.6605840854714902	0.6254182965272294	wald_auto	2
4	0.6441506267316882	0.6106574140152707	wald_auto	2
0	0.8566671524336928	0.8230880487656119	ks	3
1	0.8444708672266236	0.8179112175150546	ks	3
2	0.8456565803767786	0.8162519506692419	ks	3
3	0.8416637926460445	0.8181885077455361	ks	3
4	0.8381323950761395	0.8158004043571161	ks	3
0	0.8579565326832888	0.8243856514419089	mwu	3
1	0.8387499668795211	0.8149103742628154	mwu	3
2	0.8468976047269547	0.8140052508926198	mwu	3
3	0.8438892794609223	0.8216081255518726	mwu	3
4	0.8408735475141933	0.8194469671345309	mwu	3
0	0.8671183195993748	0.839834635221352	ttest	3
1	0.8530643067221324	0.8307247934243094	ttest	3
2	0.8393232823719562	0.8058442169557911	ttest	3
3	0.8593363665304823	0.8370108713058185	ttest	3
4	0.8587795803045577	0.8415839864916155	ttest	3
0	0.5959126366084156	0.5808136070458699	wald_auto	3
1	0.6034561269204372	0.5847545054258473	wald_auto	3
2	0.5842213980254474	0.5696234970673909	wald_auto	3
3	0.6075009239216514	0.5890246160206849	wald_auto	3
4	0.5836954226281612	0.5759580365653982	wald_auto	3
0	0.8438182330506809	0.8138465829630003	ks	4
1	0.8387557174873199	0.8056461859657116	ks	4
2	0.8318285690666132	0.8125434429995664	ks	4
3	0.8290348972777775	0.8034089198356615	ks	4
4	0.8275963990633523	0.8017404738928573	ks	4
0	0.8465219984010695	0.8154505170105224	mwu	4
1	0.8368107888494254	0.8028544188291428	mwu	4
2	0.8358281517873135	0.8179349162066358	mwu	4
3	0.8335029350612371	0.8106391410974341	mwu	4
4	0.8358265115384942	0.8087794841839407	mwu	4
0	0.8608802636924812	0.8389663687809228	ttest	4
1	0.8508669611145332	0.8172080648976362	ttest	4
2	0.8497376991889893	0.8356120463893361	ttest	4
3	0.8617926344954824	0.8426106808668489	ttest	4
4	0.8530718032868728	0.8314990983081219	ttest	4
0	0.6298243043003924	0.6109323259591745	wald_auto	4
1	0.6300014654877631	0.609170024684628	wald_auto	4
2	0.6525888655496394	0.6244550151939389	wald_auto	4
3	0.6329630534251706	0.6168745790836077	wald_auto	4
4	0.6369482031491704	0.6132940069541584	wald_auto	4
