axis_a	axis_b	beta
n_cells	moi	-0.031059414452293706
n_cres	moi	0.023095523630048236
moi	minP	-0.018113275142505388
n_cells	n_cres	0.01270936498052644
n_cells	minP	-0.011662045548392529
bcs_per_cre	lib_alpha_nb	0.010493423066220243
n_cres	minP	0.009042261630383805
bcs_per_cre	moi	0.007477872064263273
n_cells	bcs_per_cre	0.006838084286570419
n_cres	lib_alpha_nb	0.005188489088013257
bcs_per_cre	activity_max_mult	0.004923486247661612
lib_alpha_nb	activity_max_mult	-0.003122172689895176
n_cells	activity_max_mult	0.0029846458225503557
n_cells	lib_alpha_nb	-0.002234704319347943
n_cres	activity_max_mult	-0.0020678943183729368
minP	activity_max_mult	0.001340986918555289
bcs_per_cre	minP	0.0011001833922165533
moi	lib_alpha_nb	-0.0010028832149591134
moi	activity_max_mult	-0.0006803002417937591
n_cres	bcs_per_cre	-0.0005683704789730029
lib_alpha_nb	minP	0.0001772069662750127
