	total_cells	MOI	library_size	percent_error
0	2000	5	20000	404.7416496892765
1	2000	5	30000	124.24828191051347
2	2000	5	40000	inf
3	2000	10	20000	inf
4	2000	10	30000	321.1412467056107
5	2000	10	40000	308.9228814469607
6	2000	20	20000	inf
7	2000	20	30000	297.0700612266228
8	2000	20	40000	inf
9	5000	5	20000	123.30820224387935
10	5000	5	30000	607.5773887581818
11	5000	5	40000	inf
12	5000	10	20000	231.92140458859285
13	5000	10	30000	inf
14	5000	10	40000	551.3494576876838
15	5000	20	20000	562.4599901828333
16	5000	20	30000	inf
17	5000	20	40000	inf
18	10000	5	20000	1.858968487821195
19	10000	5	30000	34.67306390892999
20	10000	5	40000	150.51600816432256
21	10000	10	20000	208.5323009402297
22	10000	10	30000	855.2814374652371
23	10000	10	40000	206.8825807666144
24	10000	20	20000	218.58673417264072
25	10000	20	30000	818.7602502905065
26	10000	20	40000	207.192268780697
