code	dataset	sm_optimizer	lib	hardware	dna	main_equ_type	z_equ_type	main_equ	z_equ	broken_by
c9100090	Fake (9)	1_bfgs	statsmodels (0)	0_CPU	No dna (0)	simple interaction (9)	replicate (0)	umis_mpra_bc  ~ C(cre_id)*C(cell_type)-1	C(rep_id)	
c9100010	Fake (9)	1_bfgs	statsmodels (0)	0_CPU	No dna (0)	by cell-type (1)	replicate (0)	umis_mpra_bc  ~ C(cre_id)-1	C(rep_id)	cell_type
c0100000	Shendure (0)	1_bfgs	statsmodels (0)	0_CPU	No dna (0)	simple addition (0)	replicate (0)	umis_mpra_bc ~ C(cre_id) + C(cell_type) -1	C(rep_id)	
c0100010	Shendure (0)	1_bfgs	statsmodels (0)	0_CPU	No dna (0)	by cell-type (1)	replicate (0)	umis_mpra_bc ~ C(cre_id)-1	C(rep_id)	cell_type
c9200090	Fake (9)	2_cg	statsmodels (0)	0_CPU	No dna (0)	simple interaction (9)	replicate (0)	umis_mpra_bc  ~ C(cre_id)*C(cell_type)-1	C(rep_id)	
c9200010	Fake (9)	2_cg	statsmodels (0)	0_CPU	No dna (0)	by cell-type (1)	replicate (0)	umis_mpra_bc  ~ C(cre_id)-1	C(rep_id)	cell_type
c0200000	Shendure (0)	2_cg	statsmodels (0)	0_CPU	No dna (0)	simple addition (0)	replicate (0)	umis_mpra_bc ~ C(cre_id) + C(cell_type) -1	C(rep_id)	
c0200010	Shendure (0)	2_cg	statsmodels (0)	0_CPU	No dna (0)	by cell-type (1)	replicate (0)	umis_mpra_bc ~ C(cre_id)-1	C(rep_id)	cell_type
c0011000	Shendure (0)	0_default	tensorzinb (1)	1_A100	No dna (0)	simple addition (0)	replicate (0)	umis_mpra_bc ~ C(cre_id) + C(cell_type) -1	C(rep_id)	
c9010090	Fake (9)	0_default	tensorzinb (1)	0_CPU	No dna (0)	simple interaction (9)	replicate (0)	umis_mpra_bc  ~ C(cre_id)*C(cell_type)-1	C(rep_id)	
c9011090	Fake (9)	0_default	tensorzinb (1)	1_A100	No dna (0)	simple interaction (9)	replicate (0)	umis_mpra_bc  ~ C(cre_id)*C(cell_type)-1	C(rep_id)	
c9011010	Fake (9)	0_default	tensorzinb (1)	1_A100	No dna (0)	by cell-type (1)	replicate (0)	umis_mpra_bc ~ C(cre_id)-1	C(rep_id)	cell_type
c0012010	Shendure (0)	0_default	tensorzinb (1)	2_A100	No dna (0)	by cell-type (1)	replicate (0)	umis_mpra_bc ~ C(cre_id)-1	C(rep_id)	cell_type
