CRE	Cell-type	mean
nobody	brain	1
mediumbody	brain	10
everybody	brain	114
redgene	brain	30
neurogene	brain	99
weak	brain	5
pos_control	brain	201
pos_control_B	brain	102
hepatogene	brain	14
nobody	blood	2
mediumbody	blood	12
everybody	blood	109
redgene	blood	112
neurogene	blood	16
weak	blood	2
pos_control	blood	222
pos_control_B	blood	103
hepatogene	blood	15
nobody	liver	3
mediumbody	liver	11
everybody	liver	110
redgene	liver	15
neurogene	liver	16
weak	liver	3
pos_control	liver	201
pos_control_B	liver	111
hepatogene	liver	66
