cell_type	cre_id	true_mu
brain	reference	1
brain	mediumbody	10
brain	everybody	114
brain	redgene	30
brain	neurogene	99
brain	reference	5
brain	pos_control	201
brain	pos_control_B	102
brain	hepatogene	14
blood	reference	2
blood	mediumbody	12
blood	everybody	109
blood	redgene	112
blood	neurogene	16
blood	reference	2
blood	pos_control	222
blood	pos_control_B	103
blood	hepatogene	15
reference	reference	3
reference	mediumbody	11
reference	everybody	110
reference	redgene	15
reference	neurogene	16
reference	reference	3
reference	pos_control	201
reference	pos_control_B	111
reference	hepatogene	66
