replicate	auroc	auprc	test	gt_draw
0	0.9341873537429737	0.8976992690388494	mwu	0
1	0.9002734223770809	0.873493591001465	mwu	0
2	0.8750457774848018	0.8597132412361658	mwu	0
3	0.893488697498251	0.8661388667120878	mwu	0
4	0.8730244429174437	0.849029707905793	mwu	0
0	0.7176022765967798	0.45824556038685155	wald_auto	0
1	0.8516074826401759	0.820717786585515	wald_auto	0
2	0.8887782535099074	0.8713946392854487	wald_auto	0
3	0.8706576893052302	0.8519770813968776	wald_auto	0
4	0.8166040799756419	0.7312577193969866	wald_auto	0
0	0.8747618727447948	0.8635528768484941	mwu	1
1	0.8860836330935252	0.879411210103442	mwu	1
2	0.8380958784374369	0.8210529934119102	mwu	1
3	0.8604451668246873	0.8487960601108732	mwu	1
4	0.8962117805755395	0.8804547181571021	mwu	1
0	0.7014826642335766	0.6564249274014676	wald_auto	1
1	0.8493026214165645	0.848099830229719	wald_auto	1
2	0.7223604294134787	0.6939924042667167	wald_auto	1
3	0.5981487024799097	0.3606940218695658	wald_auto	1
4	0.8100110874988451	0.7525616010309315	wald_auto	1
0	0.8609439272569821	0.8544159773182741	mwu	2
1	0.870534747780905	0.866010790300627	mwu	2
2	0.8956484087464819	0.8867040311025866	mwu	2
3	0.8596047187252399	0.8578142163802884	mwu	2
4	0.8831323179857382	0.8756669124448154	mwu	2
0	0.8699213919802157	0.8585298411226352	wald_auto	2
1	0.6489216133446276	0.4901379494860084	wald_auto	2
2	0.8942195280363716	0.8891254513572423	wald_auto	2
3	0.5938659247482777	0.41895319115639684	wald_auto	2
4	0.8795009860621774	0.8729292056892829	wald_auto	2
0	0.9195759415615217	0.8973351847737266	mwu	3
1	0.8422113651456219	0.804846760972428	mwu	3
2	0.8112133573664738	0.7820192273333167	mwu	3
3	0.8821743667583721	0.8588926929654437	mwu	3
4	0.9064842045346742	0.8790181050927912	mwu	3
0	0.9226010645950223	0.9003495824932701	wald_auto	3
1	0.6233864027538726	0.35007725439051285	wald_auto	3
2	0.4844061284508111	0.27088069639046997	wald_auto	3
3	0.8337409485445739	0.773736917028168	wald_auto	3
4	0.8948955468712307	0.8631032520055615	wald_auto	3
0	0.9199999999999999	0.8998116790096902	mwu	4
1	0.8563607085346215	0.8444194498522442	mwu	4
2	0.9041595441595441	0.8851524808900872	mwu	4
3	0.8677378917378917	0.8626330959570181	mwu	4
4	0.8921582075903064	0.8774540570467894	mwu	4
0	0.8894690429778148	0.8683325527145391	wald_auto	4
1	0.5837014344067636	0.4500335408213698	wald_auto	4
2	0.5950172215843857	0.37317301655710206	wald_auto	4
3	0.5897281665702718	0.3829933379081727	wald_auto	4
4	0.649045318610536	0.41011506455979896	wald_auto	4
