replicate	auroc	auprc	test	gt_draw
0	0.9194610235332115	0.9115804478437342	mwu	0
1	0.9090283646209865	0.8977751764376575	mwu	0
2	0.9146827064741772	0.9078211940915125	mwu	0
3	0.9385720795855252	0.9288084478118366	mwu	0
4	0.9440300901243689	0.9320751178051129	mwu	0
0	0.9290007674250633	0.9225560926186275	wald_auto	0
1	0.9163373880677528	0.9066638637909196	wald_auto	0
2	0.9039337543859649	0.8991372114243033	wald_auto	0
3	0.9372709878883052	0.9269761801279903	wald_auto	0
4	0.9486108342344971	0.9375495064092373	wald_auto	0
0	0.9285142405217781	0.9213668685295018	mwu	1
1	0.9259425605709009	0.9206816313869196	mwu	1
2	0.9239084327886211	0.9178724203815217	mwu	1
3	0.9333608889843573	0.9255266324784783	mwu	1
4	0.9253968718911747	0.9209283091693247	mwu	1
0	0.925641511608833	0.9211213165911729	wald_auto	1
1	0.9191579292267367	0.9140331908555118	wald_auto	1
2	0.9202840266014942	0.9134069879422901	wald_auto	1
3	0.93320269375138	0.9242484103340113	wald_auto	1
4	0.9276231263383297	0.920561480270618	wald_auto	1
0	0.9337411281804715	0.9262530302759371	mwu	2
1	0.9040480093846237	0.8812399375141684	mwu	2
2	0.9301606805187808	0.925516029676816	mwu	2
3	0.9238768112312755	0.9174220614577617	mwu	2
4	0.9335291060233214	0.9260112930958194	mwu	2
0	0.9347157678651945	0.9277021844233282	wald_auto	2
1	0.9241520615951453	0.9104730304812989	wald_auto	2
2	0.932226976963637	0.9264795868163683	wald_auto	2
3	0.9241942836148891	0.9221374749112861	wald_auto	2
4	0.9291810081694185	0.9207988197706197	wald_auto	2
0	0.925470159514598	0.9169358255698529	mwu	3
1	0.9232387271647354	0.9177121932991267	mwu	3
2	0.9092200815785414	0.8978056299887023	mwu	3
3	0.892174782408	0.8847225557065833	mwu	3
4	0.9237156411375493	0.9144860926951625	mwu	3
0	0.9230858174605645	0.9153591367607673	wald_auto	3
1	0.926773465558414	0.9216291121814479	wald_auto	3
2	0.9071762644779695	0.8969119740735313	wald_auto	3
3	0.8942679929419398	0.8830039952188843	wald_auto	3
4	0.9219306049822064	0.9154069708462946	wald_auto	3
0	0.9145130622208667	0.9024288707361173	mwu	4
1	0.9172829945655809	0.907369153258411	mwu	4
2	0.9252945958540587	0.9158386014124161	mwu	4
3	0.911660360714808	0.9009994340364758	mwu	4
4	0.9300305792367323	0.9209189691586668	mwu	4
0	0.907119374311735	0.8960082101202114	wald_auto	4
1	0.9225461022776701	0.9092582266319446	wald_auto	4
2	0.9251817345295605	0.9122027064698335	wald_auto	4
3	0.9245298850574712	0.9117153720954045	wald_auto	4
4	0.9096791504909796	0.9008947968901238	wald_auto	4
