
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR21787460_1_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
10000000.0	4373809.5	4368054.9	4377751.0
20000000.0	6349955.5	6342094.6	6355630.5
30000000.0	7920874.5	7910581.8	7928430.2
40000000.0	9346603.0	9334138.7	9356144.0
50000000.0	10698644.0	10683554.4	10710181.8
60000000.0	12003840.0	11986039.2	12017296.3
70000000.0	13274692.0	13254556.3	13290179.7
80000000.0	14518261.0	14495729.6	14535782.0
90000000.0	15738715.0	15713933.4	15758228.4
100000000.0	16938889.0	16911941.6	16960593.9
110000000.0	18121081.0	18091875.9	18144834.8
120000000.0	19286660.0	19255281.0	19312288.0
130000000.0	20436767.0	20403428.4	20464438.6
140000000.0	21572791.0	21537350.7	21602262.0
150000000.0	22695363.0	22657939.6	22726664.7
160000000.0	23805302.0	23765900.6	23838398.1
170000000.0	24903282.0	24861935.6	24938116.2
180000000.0	25989846.0	25946563.9	26026410.2
190000000.0	27065544.5	27020347.5	27103719.0
200000000.0	28130793.5	28083732.4	28170682.9
210000000.0	29186066.0	29137193.4	29227716.8
220000000.0	30231739.0	30181092.4	30275059.9
230000000.0	31268254.5	31215800.6	31313172.5
240000000.0	32295861.5	32241664.2	32342375.2
250000000.0	33314901.5	33258973.8	33362982.2
260000000.0	34325692.0	34268032.3	34375305.0
270000000.0	35328445.5	35269106.6	35379597.1
280000000.0	36323457.0	36262459.6	36376120.2
290000000.0	37310888.0	37248326.5	37365121.1
300000000.0	38291120.5	38226932.2	38346833.9
310000000.0	39264267.5	39198354.3	39321466.5
320000000.0	40230595.0	40162902.0	40289224.0
330000000.0	41190318.0	41120739.9	41250302.4
340000000.0	42143388.5	42072100.9	42204881.6
350000000.0	43090134.9	43017161.8	43153139.1
360000000.0	44030780.8	43956088.7	44095242.6
370000000.0	44965522.1	44889038.9	45031350.3
380000000.0	45894225.7	45816163.4	45961614.5
390000000.0	46817331.2	46737606.6	46886178.1
400000000.0	47734901.9	47653506.9	47805182.8
410000000.0	48647052.4	48563996.8	48718762.4
420000000.0	49553910.6	49469203.3	49627045.0
430000000.0	50455599.0	50369248.5	50530153.7
440000000.0	51352235.5	51264249.5	51428206.8
450000000.0	52244004.4	52154319.1	52321318.0
460000000.0	53130983.6	53039565.6	53209596.8
470000000.0	54013297.5	53920093.6	54093148.7
480000000.0	54890925.2	54796003.5	54972075.4
490000000.0	55763904.8	55667470.5	55846475.1
500000000.0	56632406.8	56534623.3	56716347.3
510000000.0	57496643.7	57397441.1	57581804.0
520000000.0	58356636.3	58256011.4	58442996.6
530000000.0	59212453.0	59110418.5	59300010.5
540000000.0	60064294.0	59960743.9	60152928.1
550000000.0	60911987.1	60807066.5	61001829.3
560000000.0	61755597.9	61649462.8	61846791.5
570000000.0	62595510.0	62488008.6	62687884.4
580000000.0	63431646.8	63322777.7	63525185.5
590000000.0	64264080.1	64153835.6	64358766.0
600000000.0	65092884.6	64981249.8	65188695.1
610000000.0	65918001.0	65805085.5	66015039.7
620000000.0	66739629.0	66625406.0	66837865.4
630000000.0	67557942.2	67442272.9	67657346.1
640000000.0	68372916.1	68255745.9	68473461.6
650000000.0	69184560.6	69065883.1	69286244.8
660000000.0	69992931.5	69872660.3	70095753.0
670000000.0	70798082.4	70676212.7	70901836.4
680000000.0	71599995.2	71476597.0	71704601.6
690000000.0	72398818.4	72273865.1	72504341.7
700000000.0	73194484.4	73068067.1	73301220.6
710000000.0	73987176.6	73859252.3	74095113.3
720000000.0	74776821.7	74647468.3	74886048.8
730000000.0	75563642.6	75432761.4	75673715.9
740000000.0	76347429.7	76215177.0	76458489.9
750000000.0	77128676.1	76994811.2	77240018.1
760000000.0	77907058.0	77772282.5	78019448.2
770000000.0	78682547.8	78546371.9	78796468.2
780000000.0	79455217.1	79317750.1	79570783.3
790000000.0	80225569.3	80086456.7	80342448.1
800000000.0	80993293.0	80852530.5	81111502.7
810000000.0	81758261.1	81616043.0	81877300.8
820000000.0	82520500.6	82376920.2	82640498.1
830000000.0	83280454.2	83135310.9	83401398.3
840000000.0	84037663.7	83891214.3	84160344.3
850000000.0	84792627.1	84644664.5	84916857.3
860000000.0	85544995.1	85395695.2	85671000.4
870000000.0	86295124.4	86144338.9	86422796.6
880000000.0	87043632.8	86890627.6	87172246.4
890000000.0	87789595.5	87634592.6	87919375.2
900000000.0	88532644.1	88376265.0	88663630.6
910000000.0	89273276.4	89115677.1	89405401.6
920000000.0	90011651.1	89852855.1	90144929.9
930000000.0	90747887.9	90587827.5	90882243.8
940000000.0	91482257.0	91320622.1	91617797.9
950000000.0	92214631.1	92050907.4	92352101.4
960000000.0	92945229.0	92778588.1	93084332.5
970000000.0	93673487.2	93504981.0	93814525.5
980000000.0	94399306.5	94229310.2	94541177.7
990000000.0	95122891.3	94951601.5	95265755.8
1000000000.0	95844693.4	95671888.0	95988296.3
1010000000.0	96565234.3	96390759.0	96711716.5
1020000000.0	97283229.6	97107724.2	97433295.1
1030000000.0	97999002.2	97822075.8	98150124.0
1040000000.0	98712567.5	98534501.1	98864989.6
1050000000.0	99424510.1	99245028.6	99577913.9
1060000000.0	100135034.1	99953724.5	100288947.2
1070000000.0	100842911.1	100660460.3	100998110.8
1080000000.0	101549928.6	101364893.0	101706713.3
1090000000.0	102254399.0	102067499.1	102413071.7
1100000000.0	102958295.5	102768397.2	103118362.3
1110000000.0	103659707.4	103467876.7	103822475.0
1120000000.0	104359487.8	104165602.3	104524320.3
1130000000.0	105058285.2	104861794.5	105224379.8
1140000000.0	105753316.4	105556076.5	105922762.8
1150000000.0	106447476.1	106248324.0	106619488.4
1160000000.0	107139122.8	106939135.0	107313566.2
