	total_cells	MOI	library_size	total_transfection_events	gt_collisions	estimated_collisions	estimated_collision_rate	gt_collision_rate	percent_estimation_error
0	1000	5	10000	4885	5	4.6942821138836734	0.0009609584675299229	0.0010235414534288639	6.114357722326534
1	1000	5	30000	5151	1	4.440386253741053	0.0008620435359621536	0.00019413706076490002	344.0386253741054
2	1000	5	50000	5103	0	4.268167323947637	0.0008364035516260311	0.0	inf
3	1000	5	70000	5269	1	4.321713961751811	0.0008202152138454757	0.0001897893338394382	332.1713961751812
4	1000	5	90000	4968	0	3.867882555423421	0.0007785592905441668	0.0	inf
5	1000	10	10000	9739	5	11.508541285878891	0.0011816964047519142	0.0005133997330321388	130.17082571757786
6	1000	10	30000	10136	4	9.279417386816931	0.0009154910602621281	0.0003946329913180742	131.98543467042327
7	1000	10	50000	10322	2	9.126209113059303	0.0008841512413349451	0.00019376089905057158	356.3104556529652
8	1000	10	70000	9711	2	8.314729795874882	0.0008562176702579427	0.00020595201318092884	315.7364897937441
9	1000	10	90000	10060	1	8.460407267963092	0.0008409947582468282	9.940357852882704e-05	746.0407267963092
10	1000	15	10000	14697	17	22.266664049062456	0.0015150482444759104	0.0011566986459821732	30.980376759190914
11	1000	15	30000	15372	6	16.089544183187172	0.0010466786483988532	0.00039032006245121	168.15906971978617
12	1000	15	50000	15205	3	13.530107226870314	0.0008898459208727599	0.00019730351857941467	351.0035742290105
13	1000	15	70000	15052	4	12.934290663913998	0.0008593071129360881	0.00026574541589157585	223.35726659784996
14	1000	15	90000	15472	6	13.888763590610324	0.0008976708628884646	0.00038779731127197516	131.47939317683876
15	1000	20	10000	20191	23	36.25551684225866	0.0017956275985468108	0.001139121390718637	57.632681922863725
16	1000	20	30000	19767	10	21.082374276131304	0.0010665439508337788	0.0005058936611524258	110.82374276131304
17	1000	20	50000	19681	5	17.93005176581937	0.0009110335737929664	0.00025405213149738324	258.6010353163874
18	1000	20	70000	20523	5	18.0131330776494	0.0008777046765896506	0.00024362909905959167	260.262661552988
19	1000	20	90000	19658	7	16.907544669767958	0.0008600846815427795	0.0003560891240207549	141.53635242525655
20	1000	25	10000	24220	47	50.31823461525346	0.0020775489106215302	0.0019405450041288191	7.060073649475453
21	1000	25	30000	23946	12	28.147109193800134	0.0011754409585651104	0.0005011275369581559	134.55924328166776
22	1000	25	50000	24801	10	24.03679507810375	0.0009691865278861236	0.0004032095480020967	140.3679507810375
23	1000	25	70000	23951	6	22.991436806802085	0.0009599364037744597	0.00025051146089933614	283.19061344670143
24	1000	25	90000	25352	6	23.056433169891534	0.000909452239266785	0.00023666771852319345	284.2738861648589
25	1000	30	10000	29794	76	73.7525429876041	0.002475415955816745	0.002550849164261261	2.9571802794682918
26	1000	30	30000	30376	19	36.41727021462793	0.0011988830068023419	0.0006254938109033448	91.66984323488387
27	1000	30	50000	30139	15	31.752988603118865	0.0010535514981624761	0.000497694017717907	111.68659068745912
28	1000	30	70000	29747	8	28.98105292116088	0.000974251283193629	0.0002689346824889905	262.263161514511
29	1000	30	90000	29980	9	27.310495197019918	0.0009109571446637731	0.0003002001334222815	203.4499466335547
30	1000	35	10000	34786	90	97.21924331300397	0.002794780754125337	0.002587247743345024	8.0213814588933
31	1000	35	30000	35098	27	46.69837376086798	0.0013305138116379276	0.0007692746025414553	72.95693985506661
32	1000	35	50000	34631	24	36.86343373217824	0.0010644634498622112	0.0006930207039935318	53.59764055074264
33	1000	35	70000	34723	15	34.226829059422016	0.0009857105969939815	0.00043199032341675544	128.1788603961468
34	1000	35	90000	35706	12	35.191100054682465	0.000985579455964893	0.0003360779700890607	193.25916712235386
35	1000	40	10000	39596	131	127.2827577934222	0.0032145357559708607	0.003308414991413274	2.837589470670072
36	1000	40	30000	41002	52	60.92751539514575	0.0014859644747852725	0.0012682308180088776	17.16829883681874
37	1000	40	50000	40562	25	45.846200192390825	0.001130274646033007	0.0006163404171391943	83.3848007695633
38	1000	40	70000	39855	17	40.56875004366884	0.0010179086700205454	0.0004265462300840547	138.63970613922845
39	1000	40	90000	39445	16	39.21880475672515	0.0009942655534725606	0.00040562808974521484	145.1175297295322
40	1000	45	10000	46984	169	170.6385693167249	0.0036318442303065915	0.0035969691809977864	0.9695676430324831
41	1000	45	30000	45170	44	69.92452474149468	0.001548030213449074	0.0009740978525570068	58.91937441248791
42	1000	45	50000	44150	26	51.918658883434546	0.0011759605636112015	0.0005889014722536807	99.68714955167131
43	1000	45	70000	46574	29	50.919088899689086	0.0010932943036820776	0.0006226650062266501	75.58306517134167
