	name	debug
0	Col1a2_chr6_77	ok
1	Gata4_chr14_5760	ok
2	Lamc1_chr1_12152	ok
3	Sparc_chr11_7195	ok
4	Bend5_chr4_8174	ok
5	Col1a1_chr11_15307	ok
6	Epas1_chr17_10061	ok
7	Epas1_chr17_10071	ok
8	Foxa2_chr2_13841	ok
9	Gata4_chr14_5677	ok
10	Lamb1_chr12_2239	ok
11	Map1b_chr13_9445	ok
12	Tubb2b_chr13_2568	ok
13	reference	ok
14	Col5a1_chr2_2576	ok
15	Klf4_chr4_3934	ok
16	Btg1_chr10_9578	ok
17	Cdk5r1_chr11_12562	ok
18	Col1a2_chr6_93	ok
19	Txndc12_chr4_7961	ok
20	Col1a1_chr11_15270	ok
21	Col1a1_chr11_15322	ok
22	Foxa2_chr2_13858	ok
23	Gata4_chr14_5714	ok
24	Gata4_chr14_5749	ok
25	Igfbp4_chr11_16710	ok
26	Lamb1_chr12_2183	ok
27	Lamb1_chr12_2210	ok
28	Lamb1_chr12_2296	ok
29	Map1b_chr13_9429	ok
30	Map1b_chr13_9447	ok
31	Sox17_chr1_58	ok
32	Sox2_chr3_2005	ok
33	Sox4_chr13_2055	ok
34	Tubb2b_chr13_2576	ok
35	Txndc12_chr4_7951	ok
36	Txndc12_chr4_7962	ok
37	Txndc12_chr4_7973	ok
38	eef1aP	ok
39	Cdk5r1_chr11_12559	ok
40	Gata4_chr14_5742	ok
41	Igfbp4_chr11_16743	ok
42	Lamc1_chr1_12175	ok
43	Sparc_chr11_7203	ok
44	Tubb2b_chr13_2583	ok
45	Col1a1_chr11_15275	ok
46	Col5a1_chr2_2575	ok
47	Lama1_chr17_7793	ok
48	Txndc12_chr4_7978	ok
49	Cdk5r1_chr11_12582	ok
50	Cited2_chr10_1254	ok
51	Foxa2_chr2_13808	ok
52	Sox17_chr1_67	ok
53	Epas1_chr17_10070	ok
54	Tgfbi_chr13_5692	ok
55	Cdk5r1_chr11_12574	ok
56	Igfbp4_chr11_16728	ok
57	Igfbp4_chr11_16740	ok
58	ubcP	ok
59	Bend5_chr4_8179	ok
60	Sox4_chr13_2052	ok
61	Sox17_chr1_82	ok
62	Sparc_chr11_7210	ok
63	Sparc_chr11_7234	ok
64	Tgfbi_chr13_5705	ok
65	Foxa2_chr2_13840	ok
66	pgk1P	ok
67	Sparc_chr11_7211	ok
68	Sox2_chr3_2007	ok
69	Sparc_chr11_7230	ok
70	Tubb2b_chr13_2590	ok
71	Cited2_chr10_1253	ok
72	Sparc_chr11_7235	ok
73	Klf4_chr4_3948	ok
74	Sparc_chr11_7243	ok
75	Tubb2b_chr13_2577	ok
76	Tgfbi_chr13_5741	ok
77	Igfbp4_chr11_16711	ok
78	Bend5_chr4_8175	ok
79	Cdk5r1_chr11_12575	ok
80	Epas1_chr17_10066	ok
81	Lamb1_chr12_2216	ok
82	Lamb1_chr12_2289	ok
83	Col5a1_chr2_2565	ok
84	Sox2_chr3_2009	ok
85	Tubb2b_chr13_2578	ok
86	Epas1_chr17_10116	ok
87	Foxa2_chr2_13818	ok
88	Gata4_chr14_5710	ok
89	Lamb1_chr12_2215	ok
90	Lamc1_chr1_12185	ok
91	Lamc1_chr1_12188	NaNs in SEs; H=np.array([[-79.7380741626016, -28.774466369717377, 6.619703056166159, 6.598278809431188, 6.549983420793954, 6.158240870674169, 6.763148428895204, 7.084788506111269, 0.19289577595802465], [-28.774466369717377, -28.774466369717377, 2.1496607252322675, 2.476328528825012, 2.0649661219259143, 2.460674389602169, 2.4967044937672473, 2.534488105270209, 0.09226806991513592], [6.619703056166159, 2.1496607252322675, -4.672036340644588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3127499460608865], [6.598278809431195, 2.4763285288250128, 0.0, -4.632037020275758, 0.0, 0.0, 0.0, 0.0, 0.3163042524806881], [6.549983420793954, 2.0649661219259143, 0.0, 0.0, -3.5334853930001433, 0.0, 0.0, 0.0, 0.30860665320060543], [6.158240870674169, 2.460674389602169, 0.0, 0.0, 0.0, -3.678176297521789, 0.0, 0.0, 0.2972561550685564], [6.763148428895202, 2.4967044937672465, 0.0, 0.0, 0.0, 0.0, -2.5742883877702987, 0.0, 0.32363964638340287], [7.084788506111268, 2.534488105270209, 0.0, 0.0, 0.0, 0.0, 0.0, -3.867497198119335, 0.3379231573172344], [0.1928957759578651, 0.09226806991510195, 0.3127499460608334, 0.3163042524807054, 0.3086066532006271, 0.2972561550685384, 0.32363964638338416, 0.337923157317249, -1.7479323045681667]])
92	Map1b_chr13_9436	ok
93	Sox17_chr1_59	ok
94	Tubb2b_chr13_2557	ok
95	Col1a1_chr11_15273	ok
96	Col1a2_chr6_73	ok
97	Lamc1_chr1_12189	ok
