	name	debug
0	Cdk5r1_chr11_12559	ok
1	Col1a1_chr11_15270	ok
2	Col5a1_chr2_2575	ok
3	Lamb1_chr12_2210	ok
4	Sox2_chr3_2005	ok
5	Sox4_chr13_2052	ok
6	Sparc_chr11_7230	ok
7	eef1aP	ok
8	Cdk5r1_chr11_12582	ok
9	Col1a1_chr11_15322	ok
10	Foxa2_chr2_13840	ok
11	Foxa2_chr2_13858	ok
12	Lamc1_chr1_12152	ok
13	Map1b_chr13_9429	ok
14	Sox17_chr1_67	ok
15	Tubb2b_chr13_2576	ok
16	Tubb2b_chr13_2590	ok
17	Txndc12_chr4_7961	ok
18	Lamc1_chr1_12175	ok
19	Map1b_chr13_9447	ok
20	Tubb2b_chr13_2577	ok
21	Bend5_chr4_8174	ok
22	Bend5_chr4_8175	ok
23	Col1a1_chr11_15307	ok
24	Gata4_chr14_5742	ok
25	Igfbp4_chr11_16710	ok
26	Klf4_chr4_3948	ok
27	Lamb1_chr12_2183	ok
28	Lamb1_chr12_2239	ok
29	Sparc_chr11_7195	ok
30	Sparc_chr11_7203	ok
31	reference	ok
32	Cited2_chr10_1253	ok
33	Gata4_chr14_5749	ok
34	Tgfbi_chr13_5692	ok
35	pgk1P	ok
36	Col1a2_chr6_77	ok
37	Gata4_chr14_5714	ok
38	Sparc_chr11_7235	ok
39	Lamb1_chr12_2296	ok
40	Cdk5r1_chr11_12562	ok
41	Epas1_chr17_10061	ok
42	Map1b_chr13_9445	ok
43	Sox17_chr1_58	ok
44	Sparc_chr11_7210	ok
45	Txndc12_chr4_7962	ok
46	Gata4_chr14_5760	ok
47	Bend5_chr4_8179	ok
48	Sox17_chr1_82	ok
49	Sox2_chr3_2007	ok
50	Sparc_chr11_7243	ok
51	Tubb2b_chr13_2568	ok
52	Tubb2b_chr13_2583	ok
53	Txndc12_chr4_7978	ok
54	ubcP	ok
55	Igfbp4_chr11_16743	ok
56	Cited2_chr10_1254	ok
57	Epas1_chr17_10070	ok
58	Col1a1_chr11_15275	ok
59	Lama1_chr17_7793	ok
60	Foxa2_chr2_13841	ok
61	Igfbp4_chr11_16728	ok
62	Sparc_chr11_7234	ok
63	Tgfbi_chr13_5741	ok
64	Cdk5r1_chr11_12574	ok
